q10201,q10301,q10401,category,label,qid,inputMethod,placeholder,options,condition,acquisition contract date,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=승계분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권&q10002-q10504<730,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=최초당첨 분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권&q10002-q10504<730,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),증여,취득일 등,분양권 권리의무 승계일(명의변경일),q10511,date,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,증여,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2021년 이전 취득),매매,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2021년 이전 취득),상속,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2021년 이전 취득),자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2021년 이전 취득),증여,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),매매,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),매매,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),매매,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),상속,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=승계분양권,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),상속,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권&q10002-q10504<730,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=최초당첨 분양권,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),상속,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권&q10002-q10504<730,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),분양권(2022년 이후 취득),증여,취득일 등,분양권 권리의무 승계일(명의변경일),q10511,date,,,,,
분양권(2022년 이후 취득),재건축전 주택,매매,취득일 등,,,,,,,,
분양권(2022년 이후 취득),재건축전 주택,상속,취득일 등,,,,,,,,
분양권(2022년 이후 취득),재건축전 주택,자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),재건축전 주택,증여,취득일 등,,,,,,,,
분양권(2022년 이후 취득),조합원 입주권,매매,취득일 등,,,,,,,,
분양권(2022년 이후 취득),조합원 입주권,상속,취득일 등,,,,,,,,
분양권(2022년 이후 취득),조합원 입주권,자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),조합원 입주권,증여,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주거용 오피스텔,매매,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주거용 오피스텔,상속,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주거용 오피스텔,자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주거용 오피스텔,증여,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주택,매매,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주택,상속,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주택,자가 신축,취득일 등,,,,,,,,
분양권(2022년 이후 취득),주택,증여,취득일 등,,,,,,,,
조합원 입주권,분양권(2021년 이전 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,분양권(2021년 이전 취득),상속,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,분양권(2021년 이전 취득),자가 신축,취득일 등,,,,,,,,
조합원 입주권,분양권(2021년 이전 취득),증여,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,분양권(2022년 이후 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,분양권(2022년 이후 취득),상속,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,분양권(2022년 이후 취득),자가 신축,취득일 등,,,,,,,,
조합원 입주권,분양권(2022년 이후 취득),증여,취득일 등,주택 잔금청산일,q10521,date,,,,,
조합원 입주권,재건축전 주택,매매,취득일 등,재건축전 주택 잔금청산일과 등기접수일중 빠른날,q10531,date,,,,취득일,
조합원 입주권,재건축전 주택,매매,취득일 등,재건축전 주택 계약일,q10532,date,,,,계약일,
조합원 입주권,재건축전 주택,매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
조합원 입주권,재건축전 주택,상속,취득일 등,재건축전 주택 상속개시일,q10551,date,,,,,
조합원 입주권,재건축전 주택,상속,취득일 등,피상속인 주택 취득일,q10552,date,,,q10002-q10551<730,,
조합원 입주권,재건축전 주택,상속,취득일 등,피상속인과 상속인의 재건축전 주택 동일거주 시작일,q10553,date,,,q30801=O,,
조합원 입주권,재건축전 주택,자가 신축,취득일 등,"이전주택 사용승인서 교부일, 임시사용일, 사실상 사용일중 빠른날",q10554,date,,,,,
조합원 입주권,재건축전 주택,증여,취득일 등,재건축전 주택 등기접수일,q10555,date,,,,,
조합원 입주권,조합원 입주권,매매,취득일 등,조합원 입주권 잔금청산일,q10556,date,,,,,
조합원 입주권,조합원 입주권,상속,취득일 등,상속개시일,q10504,date,,,,,
조합원 입주권,조합원 입주권,상속,취득일 등,피상속인 조합원 입주권 취득일,q10557,date,,,,,
조합원 입주권,조합원 입주권,자가 신축,취득일 등,,,,,,,,
조합원 입주권,조합원 입주권,증여,취득일 등,조합원 입주권 명의변경 신고일,q10558,date,,,,,
조합원 입주권,주거용 오피스텔,매매,취득일 등,,,,,,,,
조합원 입주권,주거용 오피스텔,상속,취득일 등,,,,,,,,
조합원 입주권,주거용 오피스텔,자가 신축,취득일 등,,,,,,,,
조합원 입주권,주거용 오피스텔,증여,취득일 등,,,,,,,,
조합원 입주권,주택,매매,취득일 등,,,,,,,,
조합원 입주권,주택,상속,취득일 등,,,,,,,,
조합원 입주권,주택,자가 신축,취득일 등,,,,,,,,
조합원 입주권,주택,증여,취득일 등,,,,,,,,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,q10501=승계분양권,취득일,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,분양권 계약일,q10542,date,,,q10501=승계분양권,계약일,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,q10501=최초당첨 분양권,취득일,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권,계약일,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),상속,취득일 등,주택 잔금청산일,q10521,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),자가 신축,취득일 등,,,,,,,,
주택(주거용 오피스텔 포함),분양권(2021년 이전 취득),증여,취득일 등,주택 잔금청산일,q10521,date,,,,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,q10501=승계분양권,취득일,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,분양권 계약일,q10542,date,,,q10501=승계분양권,계약일,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,주택 잔금청산일,q10521,date,,,q10501=최초당첨 분양권,취득일,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권,계약일,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),상속,취득일 등,주택 잔금청산일,q10521,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),상속,취득일 등,상속개시일,q10504,date,,,,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),자가 신축,취득일 등,,,,,,,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),증여,취득일 등,주택 잔금청산일,q10521,date,,,,,
주택(주거용 오피스텔 포함),분양권(2022년 이후 취득),증여,취득일 등,분양권 명의변경 신고일,q10522,date,,,,,
주택(주거용 오피스텔 포함),재건축전 주택,매매,취득일 등,재건축전 주택 잔금청산일과 등기접수일중 빠른날,q10531,date,,,,취득일,
주택(주거용 오피스텔 포함),재건축전 주택,매매,취득일 등,재건축전 주택 계약일,q10532,date,,,,계약일,
주택(주거용 오피스텔 포함),재건축전 주택,매매,취득일 등,신주택 사용 승인일,q10559,date,,,,,
주택(주거용 오피스텔 포함),재건축전 주택,매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),재건축전 주택,상속,취득일 등,이전주택 상속개시일,q10512,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),재건축전 주택,상속,취득일 등,신주택 사용 승인일,q10559,date,,,,,
주택(주거용 오피스텔 포함),재건축전 주택,상속,취득일 등,피상속인과 상속인의 재건축전 주택 동일거주 시작일,q10553,date,,,q30801=O,,
주택(주거용 오피스텔 포함),재건축전 주택,자가 신축,취득일 등,"이전주택 사용승인서 교부일, 임시사용일, 사실상 사용일중 빠른날",q10554,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),재건축전 주택,자가 신축,취득일 등,신주택 사용 승인일,q10559,date,,,,,
주택(주거용 오피스텔 포함),재건축전 주택,증여,취득일 등,재건축전 주택 등기접수일,q10555,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),재건축전 주택,증여,취득일 등,신주택 사용 승인일,q10559,date,,,,,
주택(주거용 오피스텔 포함),조합원 입주권,매매,취득일 등,주택 사용 승인일,q10523,date,,,,취득일,
주택(주거용 오피스텔 포함),조합원 입주권,매매,취득일 등,조합원 입주권 잔금청산일,q10556,date,,,,,
주택(주거용 오피스텔 포함),조합원 입주권,매매,취득일 등,조합원 입주권 계약일,q10565,date,,,,계약일,
주택(주거용 오피스텔 포함),조합원 입주권,매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),조합원 입주권,상속,취득일 등,주택 사용 승인일,q10523,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),조합원 입주권,상속,취득일 등,상속개시일,q10504,date,,,,,
주택(주거용 오피스텔 포함),조합원 입주권,자가 신축,취득일 등,,,,,,,,
주택(주거용 오피스텔 포함),조합원 입주권,증여,취득일 등,주택 사용 승인일,q10523,date,,,,,
주택(주거용 오피스텔 포함),조합원 입주권,증여,취득일 등,조합원 입주권 명의변경 신고일,q10558,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,매매,취득일 등,잔금청산일과 등기접수일중 빠른날,q10514,date,,,,"1,2중 늦은날이 취득일&계약일",
주택(주거용 오피스텔 포함),주거용 오피스텔,매매,취득일 등,주거용 사용 시작일,q10561,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,매매,취득일 등,주거용 사용 종료일,q10562,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,상속,취득일 등,상속개시일,q10504,date,,,,"1,2중 늦은날이 취득일&계약일",
주택(주거용 오피스텔 포함),주거용 오피스텔,상속,취득일 등,주거용 사용 시작일,q10561,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,상속,취득일 등,주거용 사용 종료일,q10562,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,상속,취득일 등,피상속인 오피스텔 취득일,q10563,date,,,q10002-q10504<730,,
주택(주거용 오피스텔 포함),주거용 오피스텔,상속,취득일 등,피상속인과 상속인의 동일거주 시작일,q10564,date,,,q30801=O,,
주택(주거용 오피스텔 포함),주거용 오피스텔,자가 신축,취득일 등,"사용승인서 교부일, 임시사용일, 사실상 사용일중 빠른날",q10515,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),주거용 오피스텔,증여,취득일 등,등기접수일,q10502,date,,,,"1,2중 늦은날이 취득일&계약일",
주택(주거용 오피스텔 포함),주거용 오피스텔,증여,취득일 등,주거용 사용 시작일,q10561,date,,,,,
주택(주거용 오피스텔 포함),주거용 오피스텔,증여,취득일 등,주거용 사용 종료일,q10562,date,,,,,
주택(주거용 오피스텔 포함),주택,매매,취득일 등,잔금청산일과 등기접수일중 빠른날,q10514,date,,,,취득일,
주택(주거용 오피스텔 포함),주택,매매,취득일 등,주택 계약일,q10518,date,,,,계약일,
주택(주거용 오피스텔 포함),주택,매매,취득일 등,"계약일 당시 무주택 여부 (o,x)",q10591,oxChoice,,,취득일=조정지역O&계약일=조정지역X,,
주택(주거용 오피스텔 포함),주택,상속,취득일 등,상속개시일,q10504,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),주택,상속,취득일 등,피상속인 주택 취득일,q10552,date,,,q10002-q10504<730,,
주택(주거용 오피스텔 포함),주택,상속,취득일 등,피상속인과 상속인의 동일거주 시작일,q10564,date,,,q30801=O,,
주택(주거용 오피스텔 포함),주택,자가 신축,취득일 등,"사용승인서 교부일, 임시사용일, 사실상 사용일중 빠른날",q10515,date,,,,취득일&계약일,
주택(주거용 오피스텔 포함),주택,증여,취득일 등,등기접수일,q10502,date,,,,취득일&계약일,